Time	Ch0	Gen
0.0	-0.462709	-1.121353
4e-07	-0.462709	-1.121353
8e-07	-0.4207454	-1.121353
1.2e-06	-0.4207454	-1.121353
1.6e-06	-0.4207454	-1.16448
2e-06	-0.4207454	-1.121353
2.4e-06	-0.4207454	-1.121353
2.8e-06	-0.3787819	-1.121353
3.2e-06	-0.3368183	-1.121353
3.6e-06	-0.3368183	-1.121353
4e-06	-0.3368183	-1.121353
4.4e-06	-0.3368183	-1.121353
4.8e-06	-0.3368183	-1.121353
5.2e-06	-0.3368183	-1.0351
5.6e-06	-0.3368183	-1.078227
6e-06	-0.2948548	-1.078227
6.4e-06	-0.2948548	-1.121353
6.8e-06	-0.2528913	-1.078227
7.2e-06	-0.2948548	-1.121353
7.6e-06	-0.2528913	-1.078227
8e-06	-0.2528913	-1.078227
8.4e-06	-0.2528913	-1.078227
8.8e-06	-0.2109277	-1.078227
9.2e-06	-0.2528913	-1.078227
9.6e-06	-0.2109277	-1.078227
1e-05	-0.2109277	-1.0351
1.04e-05	-0.1689642	-1.0351
1.08e-05	-0.1689642	-1.0351
1.12e-05	-0.1689642	-1.0351
1.16e-05	-0.1689642	-1.0351
1.2e-05	-0.1689642	-1.0351
1.24e-05	-0.1689642	-1.0351
1.28e-05	-0.1689642	-1.078227
1.32e-05	-0.1270006	-0.9919738
1.36e-05	-0.1270006	-0.9919738
1.4e-05	-0.1270006	-1.078227
1.44e-05	-0.1270006	-0.9919738
1.48e-05	-0.1270006	-0.9488473
1.52e-05	-0.08503706	-0.9919738
1.56e-05	-0.08503706	-0.9488473
1.6e-05	-0.08503706	-0.9488473
1.64e-05	-0.08503706	-0.9488473
1.68e-05	-0.08503706	-0.9057208
1.72e-05	-0.04307352	-0.9488473
1.76e-05	-0.04307352	-0.9488473
1.8e-05	-0.04307352	-0.9057208
1.84e-05	-0.001109969	-0.9488473
1.88e-05	-0.001109969	-0.9057208
1.92e-05	-0.04307352	-0.9488473
1.96e-05	-0.001109969	-0.9488473
2e-05	-0.001109969	-0.9057208
2.04e-05	-0.001109969	-0.9057208
2.08e-05	-0.001109969	-0.9488473
2.12e-05	0.04085358	-0.9057208
2.16e-05	-0.001109969	-0.9488473
2.2e-05	0.04085358	-0.9057208
2.24e-05	0.04085358	-0.9057208
2.28e-05	0.04085358	-0.9057208
2.32e-05	0.08281713	-0.9057208
2.36e-05	0.1247807	-0.9057208
2.4e-05	0.08281713	-0.8625943
2.44e-05	0.1247807	-0.8625943
2.48e-05	0.1247807	-0.8625943
2.52e-05	0.1247807	-0.8625943
2.56e-05	0.1247807	-0.8625943
2.6e-05	0.1667442	-0.8625943
