Frequency	dBVrms
0.000000	-27.824277
250.000000	-51.697542
500.000000	-51.105336
750.000000	-50.633068
1000.000000	-50.795840
1250.000000	-51.145905
1500.000000	-50.960085
1750.000000	-50.862018
2000.000000	-51.367615
2250.000000	-51.899919
2500.000000	-51.418397
2750.000000	-51.805283
3000.000000	-52.546166
3250.000000	-52.409063
3500.000000	-52.628859
3750.000000	-53.085601
4000.000000	-52.835974
4250.000000	-52.966960
4500.000000	-53.122188
4750.000000	-53.071549
5000.000000	-53.796974
5250.000000	-53.239994
5500.000000	-53.256065
5750.000000	-53.769000
6000.000000	-53.641420
6250.000000	-53.608847
6500.000000	-54.167368
6750.000000	-54.055583
7000.000000	-54.469677
7250.000000	-54.635510
7500.000000	-54.208119
7750.000000	-54.346517
8000.000000	-53.881738
8250.000000	-54.064094
8500.000000	-54.260215
8750.000000	-54.646431
9000.000000	-54.286835
9250.000000	-54.614573
9500.000000	-54.701273
9750.000000	-54.728438
10000.000000	-54.717307
10250.000000	-54.930925
10500.000000	-54.429998
10750.000000	-54.466057
11000.000000	-55.110249
11250.000000	-54.908851
11500.000000	-54.442786
11750.000000	-54.826483
12000.000000	-54.299360
12250.000000	-54.516301
12500.000000	-54.526303
12750.000000	-54.603368
13000.000000	-54.801913
13250.000000	-54.708374
13500.000000	-54.977101
13750.000000	-55.080432
14000.000000	-54.882447
14250.000000	-54.902649
14500.000000	-54.876087
14750.000000	-54.929708
15000.000000	-55.348334
15250.000000	-55.004136
15500.000000	-54.891478
15750.000000	-54.663855
16000.000000	-55.024607
16250.000000	-54.795046
16500.000000	-54.677070
16750.000000	-54.622540
17000.000000	-54.949080
17250.000000	-55.131882
17500.000000	-55.164643
17750.000000	-54.951495
18000.000000	-55.146624
18250.000000	-55.103923
18500.000000	-54.786048
18750.000000	-55.603131
19000.000000	-55.116423
19250.000000	-54.993274
19500.000000	-55.043061
19750.000000	-55.393670
20000.000000	-54.627544
20250.000000	-55.171344
20500.000000	-55.056456
20750.000000	-54.994453
21000.000000	-55.061315
21250.000000	-54.889100
21500.000000	-54.768984
21750.000000	-55.249356
22000.000000	-54.830941
22250.000000	-55.176254
22500.000000	-55.198539
22750.000000	-54.791177
23000.000000	-54.897178
23250.000000	-55.407095
23500.000000	-55.015351
23750.000000	-55.210233
24000.000000	-55.090360
24250.000000	-54.764822
24500.000000	-55.150499
24750.000000	-55.172772
25000.000000	-54.309798
25250.000000	-54.875758
25500.000000	-54.765054
25750.000000	-55.315118
26000.000000	-55.233454
26250.000000	-54.729696
26500.000000	-54.924752
26750.000000	-54.855707
27000.000000	-54.398428
27250.000000	-54.700318
27500.000000	-55.053836
27750.000000	-54.822766
28000.000000	-55.017543
28250.000000	-54.568504
28500.000000	-54.615344
28750.000000	-54.933687
29000.000000	-54.734015
29250.000000	-54.571448
29500.000000	-54.350782
29750.000000	-54.216459
30000.000000	-55.011512
30250.000000	-54.521484
30500.000000	-54.455428
30750.000000	-55.397298
31000.000000	-54.499268
31250.000000	-54.976412
31500.000000	-54.545734
31750.000000	-54.612791
32000.000000	-54.570562
32250.000000	-55.140534
32500.000000	-54.664654
32750.000000	-55.109732
33000.000000	-54.767140
33250.000000	-54.363941
33500.000000	-54.079389
33750.000000	-54.978336
34000.000000	-54.328170
34250.000000	-54.535119
34500.000000	-54.300396
34750.000000	-54.540938
35000.000000	-54.619130
35250.000000	-54.819845
35500.000000	-54.571241
35750.000000	-54.417482
36000.000000	-54.751559
36250.000000	-54.269483
36500.000000	-54.509824
36750.000000	-54.392238
37000.000000	-54.159815
37250.000000	-54.498274
37500.000000	-54.457448
37750.000000	-54.108821
38000.000000	-54.442203
38250.000000	-54.284151
38500.000000	-53.951801
38750.000000	-54.567775
39000.000000	-54.055659
39250.000000	-54.665989
39500.000000	-53.834828
39750.000000	-54.325141
40000.000000	-53.819552
40250.000000	-54.206040
40500.000000	-53.929337
40750.000000	-54.300383
41000.000000	-54.254417
41250.000000	-53.945549
41500.000000	-54.126786
41750.000000	-53.597397
42000.000000	-54.127466
42250.000000	-53.605447
42500.000000	-54.084603
42750.000000	-54.203417
43000.000000	-53.873558
43250.000000	-54.199997
43500.000000	-54.005410
43750.000000	-53.355938
44000.000000	-53.817770
44250.000000	-53.379748
44500.000000	-53.984725
44750.000000	-53.618274
45000.000000	-53.673749
45250.000000	-53.380803
45500.000000	-53.460589
45750.000000	-53.858406
46000.000000	-53.510412
46250.000000	-53.454757
46500.000000	-53.513575
46750.000000	-53.807987
47000.000000	-53.481109
47250.000000	-53.681793
47500.000000	-53.608538
47750.000000	-53.104957
48000.000000	-53.227159
48250.000000	-53.550850
48500.000000	-53.277021
48750.000000	-53.291006
49000.000000	-53.405607
49250.000000	-53.041119
49500.000000	-52.958575
49750.000000	-52.959968
50000.000000	-53.025069
50250.000000	-53.038938
50500.000000	-52.941580
50750.000000	-52.850050
51000.000000	-52.570867
51250.000000	-53.252498
51500.000000	-52.881292
51750.000000	-52.885757
52000.000000	-52.551627
52250.000000	-52.685456
52500.000000	-52.523318
52750.000000	-52.899537
53000.000000	-52.386553
53250.000000	-52.206027
53500.000000	-52.638562
53750.000000	-52.646027
54000.000000	-52.042184
54250.000000	-52.325586
54500.000000	-52.567306
54750.000000	-52.537510
55000.000000	-51.766447
55250.000000	-51.930957
55500.000000	-52.124960
55750.000000	-51.797855
56000.000000	-52.011651
56250.000000	-51.944132
56500.000000	-51.918536
56750.000000	-51.586984
57000.000000	-51.573390
57250.000000	-51.682484
57500.000000	-51.445440
57750.000000	-51.826375
58000.000000	-51.291029
58250.000000	-51.495636
58500.000000	-51.422175
58750.000000	-51.903317
59000.000000	-51.240504
59250.000000	-51.112565
59500.000000	-51.288464
59750.000000	-50.738193
60000.000000	-50.874121
60250.000000	-50.608686
60500.000000	-50.395421
60750.000000	-50.390986
61000.000000	-50.831043
61250.000000	-50.443297
61500.000000	-50.102618
61750.000000	-50.109388
62000.000000	-50.270812
