Frequency	dBm
0.000000	2.270387
12.500000	3.335339
25.000000	-2.624772
37.500000	-13.018206
50.000000	-28.772530
62.500000	-52.105595
75.000000	-61.027475
87.500000	-61.576058
100.000000	-59.828911
112.500000	-58.342572
125.000000	-58.202116
137.500000	-59.037847
150.000000	-59.424585
162.500000	-59.261392
175.000000	-59.578309
187.500000	-59.820510
200.000000	-59.380629
212.500000	-59.162940
225.000000	-60.224980
237.500000	-61.669394
250.000000	-60.876186
262.500000	-60.140686
275.000000	-60.547351
287.500000	-60.766800
300.000000	-59.758490
312.500000	-58.530442
325.000000	-58.535944
337.500000	-59.509502
350.000000	-60.438323
362.500000	-60.610930
375.000000	-60.484063
387.500000	-60.333253
400.000000	-59.679546
412.500000	-59.070970
425.000000	-59.064044
437.500000	-59.402259
450.000000	-59.641622
462.500000	-59.906848
475.000000	-60.486953
487.500000	-60.358110
500.000000	-59.767987
512.500000	-59.739486
525.000000	-60.202298
537.500000	-60.533013
550.000000	-60.024419
562.500000	-59.552416
575.000000	-59.904092
587.500000	-60.305003
600.000000	-59.624015
612.500000	-58.391538
625.000000	-57.948348
637.500000	-58.798732
650.000000	-60.302346
662.500000	-60.629795
675.000000	-59.480383
687.500000	-58.773667
700.000000	-59.115644
712.500000	-60.207809
725.000000	-61.553139
737.500000	-61.505500
750.000000	-60.569439
762.500000	-60.714283
775.000000	-61.501994
787.500000	-61.232504
800.000000	-61.135436
812.500000	-62.138012
825.000000	-63.115913
837.500000	-62.293885
850.000000	-61.448642
862.500000	-61.625930
875.000000	-62.084404
887.500000	-62.022673
900.000000	-60.698924
912.500000	-58.859554
925.000000	-58.557674
937.500000	-60.176019
950.000000	-63.177478
962.500000	-63.657743
975.000000	-61.459106
987.500000	-60.726662
1000.000000	-60.441640
1012.500000	-59.879399
1025.000000	-59.765092
1037.500000	-59.803542
1050.000000	-59.469448
1062.500000	-59.602014
1075.000000	-60.375774
1087.500000	-61.724354
1100.000000	-62.964048
1112.500000	-62.804673
1125.000000	-61.579059
1137.500000	-60.824907
1150.000000	-60.608629
1162.500000	-60.514482
1175.000000	-59.922923
1187.500000	-59.124364
1200.000000	-59.026621
1212.500000	-59.582774
1225.000000	-59.897769
1237.500000	-59.187432
1250.000000	-58.528351
1262.500000	-58.585763
1275.000000	-58.663392
1287.500000	-58.501117
1300.000000	-59.475582
1312.500000	-61.217083
1325.000000	-61.931935
1337.500000	-61.477812
1350.000000	-58.759504
1362.500000	-56.848842
1375.000000	-56.827981
1387.500000	-57.927981
1400.000000	-59.273549
1412.500000	-60.636044
1425.000000	-61.657916
1437.500000	-61.715884
1450.000000	-60.291914
1462.500000	-59.334807
1475.000000	-60.197504
1487.500000	-61.694699
1500.000000	-62.146107
1512.500000	-63.013286
1525.000000	-63.418790
1537.500000	-62.958417
1550.000000	-63.086733
1562.500000	-62.942948
1575.000000	-63.371332
1587.500000	-63.419294
1600.000000	-61.563398
1612.500000	-60.400755
1625.000000	-59.962605
1637.500000	-59.432026
1650.000000	-59.521954
1662.500000	-60.988100
1675.000000	-63.091475
1687.500000	-63.679111
1700.000000	-63.624966
1712.500000	-62.855292
1725.000000	-62.078911
1737.500000	-61.679971
1750.000000	-61.923993
1762.500000	-62.508063
1775.000000	-62.337746
1787.500000	-62.332328
1800.000000	-61.942068
1812.500000	-61.020404
1825.000000	-60.461746
1837.500000	-60.323460
1850.000000	-60.195536
1862.500000	-59.848445
1875.000000	-59.609021
1887.500000	-59.270793
1900.000000	-59.231547
1912.500000	-59.809771
1925.000000	-59.952109
1937.500000	-60.300504
1950.000000	-61.790110
1962.500000	-61.927669
1975.000000	-60.518668
1987.500000	-59.856676
2000.000000	-60.061177
2012.500000	-61.150905
2025.000000	-61.836242
2037.500000	-61.370477
2050.000000	-62.351931
2062.500000	-60.821850
2075.000000	-56.011682
2087.500000	-54.433907
2100.000000	-56.139592
2112.500000	-59.637633
2125.000000	-61.009900
2137.500000	-60.365623
2150.000000	-61.055445
2162.500000	-61.504071
2175.000000	-60.629499
2187.500000	-60.768062
2200.000000	-60.981301
2212.500000	-59.994150
2225.000000	-59.221878
2237.500000	-59.130873
2250.000000	-59.193575
2262.500000	-59.236297
2275.000000	-59.633939
2287.500000	-59.155903
2300.000000	-58.523749
2312.500000	-59.095219
2325.000000	-59.834178
2337.500000	-60.266198
2350.000000	-60.255367
2362.500000	-59.436585
2375.000000	-59.152578
2387.500000	-59.667155
2400.000000	-60.327342
2412.500000	-60.674572
2425.000000	-60.367232
2437.500000	-59.846599
2450.000000	-59.641989
2462.500000	-60.634356
2475.000000	-62.310201
2487.500000	-61.149686
2500.000000	-59.096344
2512.500000	-58.389443
2525.000000	-59.568286
2537.500000	-62.143954
2550.000000	-62.009101
2562.500000	-60.617657
2575.000000	-60.315556
2587.500000	-60.157133
2600.000000	-60.280540
2612.500000	-60.502323
2625.000000	-60.423723
2637.500000	-60.659199
2650.000000	-61.345764
2662.500000	-62.382499
2675.000000	-62.405025
2687.500000	-61.203166
2700.000000	-60.390810
2712.500000	-59.568090
2725.000000	-59.203119
2737.500000	-58.966603
2750.000000	-58.430504
2762.500000	-57.704408
2775.000000	-57.720646
2787.500000	-59.153068
2800.000000	-60.652118
2812.500000	-61.343080
2825.000000	-62.008885
2837.500000	-61.382200
2850.000000	-59.367474
2862.500000	-58.884944
2875.000000	-60.230810
2887.500000	-61.818525
2900.000000	-61.337675
2912.500000	-59.676500
2925.000000	-59.002734
2937.500000	-59.818845
2950.000000	-60.706213
2962.500000	-60.556502
2975.000000	-60.569704
2987.500000	-61.059017
3000.000000	-60.963882
3012.500000	-59.561758
3025.000000	-58.219394
3037.500000	-58.226729
3050.000000	-59.644457
3062.500000	-60.570683
3075.000000	-59.948741
3087.500000	-59.713074
3100.000000	-59.769956
3112.500000	-58.840098
3125.000000	-57.855071
3137.500000	-57.474997
3150.000000	-57.259519
3162.500000	-57.774609
3175.000000	-59.370855
3187.500000	-60.756766
3200.000000	-61.664206
3212.500000	-62.365577
3225.000000	-62.749294
3237.500000	-63.158786
3250.000000	-62.369517
3262.500000	-61.364468
3275.000000	-61.185005
3287.500000	-61.828141
3300.000000	-62.582077
3312.500000	-62.408129
3325.000000	-62.174819
3337.500000	-61.843677
3350.000000	-61.036721
3362.500000	-59.645641
3375.000000	-58.518138
3387.500000	-58.712028
3400.000000	-59.127304
3412.500000	-58.440646
3425.000000	-58.469391
3437.500000	-59.934363
3450.000000	-61.164148
3462.500000	-61.274083
3475.000000	-60.768334
3487.500000	-60.505152
3500.000000	-60.402449
3512.500000	-60.281191
3525.000000	-60.701188
3537.500000	-60.480895
3550.000000	-60.181100
3562.500000	-61.269813
3575.000000	-62.389034
3587.500000	-61.543278
3600.000000	-60.580191
3612.500000	-60.199990
3625.000000	-59.815684
3637.500000	-59.588471
3650.000000	-59.553926
3662.500000	-59.813770
3675.000000	-60.134313
3687.500000	-60.251047
3700.000000	-60.394272
3712.500000	-61.043035
3725.000000	-61.209349
3737.500000	-61.123289
3750.000000	-61.002708
3762.500000	-61.202681
3775.000000	-62.654921
3787.500000	-63.199871
3800.000000	-61.044339
3812.500000	-60.042771
3825.000000	-60.890345
3837.500000	-61.503758
3850.000000	-60.730447
3862.500000	-60.362959
3875.000000	-60.544859
3887.500000	-60.052868
3900.000000	-59.150630
3912.500000	-59.243679
3925.000000	-59.922457
3937.500000	-60.566500
3950.000000	-60.719459
3962.500000	-60.074075
3975.000000	-59.220750
3987.500000	-58.602954
4000.000000	-58.405365
4012.500000	-58.212937
4025.000000	-57.792640
4037.500000	-58.045548
4050.000000	-59.169078
4062.500000	-60.339222
4075.000000	-59.955065
4087.500000	-59.140224
4100.000000	-59.392999
4112.500000	-60.343843
4125.000000	-60.669300
4137.500000	-60.556671
4150.000000	-60.617491
4162.500000	-60.518016
4175.000000	-59.823435
4187.500000	-60.131837
4200.000000	-62.169933
4212.500000	-62.694569
4225.000000	-60.993183
4237.500000	-60.223479
4250.000000	-60.914721
4262.500000	-62.132295
4275.000000	-62.771392
4287.500000	-61.894774
4300.000000	-60.061101
4312.500000	-59.270687
4325.000000	-59.416169
4337.500000	-59.097540
4350.000000	-58.689361
4362.500000	-59.520642
4375.000000	-61.455699
4387.500000	-62.600711
4400.000000	-61.804518
4412.500000	-60.658408
4425.000000	-59.982150
4437.500000	-60.260457
4450.000000	-61.558280
4462.500000	-62.397979
4475.000000	-62.049185
4487.500000	-61.977510
4500.000000	-61.780491
4512.500000	-61.712323
4525.000000	-62.405141
4537.500000	-62.266573
4550.000000	-61.243757
4562.500000	-60.827247
4575.000000	-60.792154
4587.500000	-59.750411
4600.000000	-58.591152
4612.500000	-58.720380
4625.000000	-59.895675
4637.500000	-60.912336
4650.000000	-60.756053
4662.500000	-60.087322
4675.000000	-59.995591
4687.500000	-60.667769
4700.000000	-62.304564
4712.500000	-63.141956
4725.000000	-61.669654
4737.500000	-60.669045
4750.000000	-60.766352
4762.500000	-61.045949
4775.000000	-61.684989
4787.500000	-61.971041
4800.000000	-61.589337
4812.500000	-61.149520
4825.000000	-60.506530
4837.500000	-59.883035
4850.000000	-60.155730
4862.500000	-61.802049
4875.000000	-62.541067
4887.500000	-60.461352
4900.000000	-59.232596
4912.500000	-60.248621
4925.000000	-62.656788
4937.500000	-62.841111
4950.000000	-62.144901
4962.500000	-61.957868
4975.000000	-62.020147
4987.500000	-62.657385
5000.000000	-62.060184
5012.500000	-60.868183
5025.000000	-60.503443
5037.500000	-60.366116
5050.000000	-60.351733
5062.500000	-61.054378
5075.000000	-61.481305
5087.500000	-60.676390
5100.000000	-59.743818
5112.500000	-59.786220
5125.000000	-60.489171
5137.500000	-61.067742
5150.000000	-61.199523
5162.500000	-60.516884
5175.000000	-59.677523
5187.500000	-59.909752
5200.000000	-60.977489
5212.500000	-62.384231
5225.000000	-62.713070
5237.500000	-59.962143
5250.000000	-58.382598
5262.500000	-59.410605
5275.000000	-62.000779
5287.500000	-62.426665
5300.000000	-62.278044
5312.500000	-62.476935
5325.000000	-61.044077
5337.500000	-59.808496
5350.000000	-59.846757
5362.500000	-60.229656
5375.000000	-60.031174
5387.500000	-59.944010
5400.000000	-60.494307
5412.500000	-60.874364
5425.000000	-61.519588
5437.500000	-62.599499
5450.000000	-61.908838
5462.500000	-60.521092
5475.000000	-59.808610
5487.500000	-60.529246
5500.000000	-62.509960
5512.500000	-62.237568
5525.000000	-60.686608
5537.500000	-60.514066
5550.000000	-61.162201
5562.500000	-60.775723
5575.000000	-59.584752
5587.500000	-58.796996
5600.000000	-58.646762
5612.500000	-59.500129
5625.000000	-60.810602
5637.500000	-61.606760
5650.000000	-61.169710
5662.500000	-60.826743
5675.000000	-61.102234
5687.500000	-60.544396
5700.000000	-59.779654
5712.500000	-59.904030
