Frequency	dBVrms
0.000000	0.324869
12.500000	1.389606
25.000000	-4.572000
37.500000	-14.974560
50.000000	-30.792152
62.500000	-53.342686
75.000000	-57.723161
87.500000	-59.089213
100.000000	-59.020604
112.500000	-59.207072
125.000000	-60.429105
137.500000	-61.099842
150.000000	-61.255938
162.500000	-61.682457
175.000000	-61.418958
187.500000	-60.472373
200.000000	-59.501091
212.500000	-58.820849
225.000000	-58.682350
237.500000	-59.616700
250.000000	-60.662512
262.500000	-60.374276
275.000000	-59.899680
287.500000	-59.436805
300.000000	-58.418137
312.500000	-57.570769
325.000000	-57.573159
337.500000	-58.539861
350.000000	-60.218493
362.500000	-61.648503
375.000000	-61.653663
387.500000	-60.406868
400.000000	-59.489845
412.500000	-59.687727
425.000000	-60.667935
437.500000	-61.304434
450.000000	-60.733677
462.500000	-60.340226
475.000000	-60.450074
487.500000	-60.615333
500.000000	-61.136973
512.500000	-61.293321
525.000000	-61.182760
537.500000	-61.725948
550.000000	-62.560501
562.500000	-63.112417
575.000000	-62.779975
587.500000	-61.834716
600.000000	-61.033596
612.500000	-60.032529
625.000000	-59.221056
637.500000	-59.146142
650.000000	-59.786101
662.500000	-60.871967
675.000000	-61.243316
687.500000	-60.170110
700.000000	-59.143665
712.500000	-59.216128
725.000000	-60.318494
737.500000	-61.166528
750.000000	-60.712523
762.500000	-60.233939
775.000000	-60.077183
787.500000	-60.390742
800.000000	-60.999280
812.500000	-60.384300
825.000000	-59.443540
837.500000	-59.562688
850.000000	-60.791331
862.500000	-62.453121
875.000000	-63.577196
887.500000	-63.075274
900.000000	-62.120175
912.500000	-62.212333
925.000000	-62.538373
937.500000	-55.338048
950.000000	-35.112436
962.500000	-19.462143
975.000000	-9.030675
987.500000	-3.029532
1000.000000	-1.046724
1012.500000	-2.954699
1025.000000	-8.872173
1037.500000	-19.206249
1050.000000	-34.795174
1062.500000	-53.793215
1075.000000	-58.907749
1087.500000	-61.216394
1100.000000	-61.976416
1112.500000	-62.088333
1125.000000	-61.595992
1137.500000	-61.010471
1150.000000	-60.910854
1162.500000	-61.133398
1175.000000	-61.287240
1187.500000	-60.934214
1200.000000	-60.519925
1212.500000	-60.815691
1225.000000	-61.018936
1237.500000	-60.685863
1250.000000	-60.385546
1262.500000	-60.760200
1275.000000	-61.793997
1287.500000	-62.242116
1300.000000	-62.029688
1312.500000	-62.258168
1325.000000	-62.961850
1337.500000	-63.008540
1350.000000	-62.244383
1362.500000	-61.530152
1375.000000	-61.477248
1387.500000	-61.669210
1400.000000	-61.506128
1412.500000	-60.955584
1425.000000	-60.525240
1437.500000	-60.367400
1450.000000	-60.245424
1462.500000	-60.388434
1475.000000	-61.034504
1487.500000	-61.678463
1500.000000	-62.284771
1512.500000	-62.703919
1525.000000	-62.026363
1537.500000	-61.272881
1550.000000	-60.978633
1562.500000	-61.254186
1575.000000	-62.142413
1587.500000	-62.382985
1600.000000	-62.109660
1612.500000	-62.739415
1625.000000	-62.643457
1637.500000	-61.146426
1650.000000	-60.531907
1662.500000	-60.881087
1675.000000	-61.138449
1687.500000	-61.093397
1700.000000	-60.675499
1712.500000	-60.388821
1725.000000	-60.952004
1737.500000	-61.631195
1750.000000	-61.496985
1762.500000	-61.091708
1775.000000	-61.430836
1787.500000	-62.363306
1800.000000	-62.919023
1812.500000	-63.054107
1825.000000	-62.410214
1837.500000	-61.021547
1850.000000	-60.432326
1862.500000	-61.279827
1875.000000	-61.421623
1887.500000	-59.979321
1900.000000	-58.704073
1912.500000	-57.421557
1925.000000	-55.779011
1937.500000	-54.460777
1950.000000	-53.644598
1962.500000	-52.799119
1975.000000	-51.896728
1987.500000	-51.373769
2000.000000	-51.459025
2012.500000	-52.117540
2025.000000	-52.822290
2037.500000	-53.420178
2050.000000	-54.443606
2062.500000	-55.467743
2075.000000	-55.395528
2087.500000	-55.630226
2100.000000	-57.936832
2112.500000	-61.617327
2125.000000	-63.017192
2137.500000	-62.516959
2150.000000	-61.581132
2162.500000	-60.192451
2175.000000	-59.634000
2187.500000	-59.988047
2200.000000	-60.387654
2212.500000	-60.893967
2225.000000	-61.690230
2237.500000	-62.279108
2250.000000	-62.617197
2262.500000	-62.230340
2275.000000	-61.120697
2287.500000	-60.427021
2300.000000	-60.585162
2312.500000	-61.099458
2325.000000	-61.807374
2337.500000	-62.147709
2350.000000	-61.393328
2362.500000	-61.079110
2375.000000	-62.458013
2387.500000	-64.465547
2400.000000	-63.405997
2412.500000	-62.190418
2425.000000	-62.096823
2437.500000	-61.797616
2450.000000	-61.594591
2462.500000	-61.639054
2475.000000	-60.892626
2487.500000	-60.335227
2500.000000	-61.268826
2512.500000	-62.864763
2525.000000	-63.335096
2537.500000	-62.363084
2550.000000	-61.206734
2562.500000	-60.693202
2575.000000	-60.336587
2587.500000	-60.162556
2600.000000	-60.407681
2612.500000	-60.630391
2625.000000	-60.847020
2637.500000	-60.620125
2650.000000	-60.180284
2662.500000	-60.394817
2675.000000	-60.994644
2687.500000	-61.297921
2700.000000	-61.740699
2712.500000	-62.952907
2725.000000	-63.720200
2737.500000	-62.302548
2750.000000	-61.016994
2762.500000	-60.917956
2775.000000	-60.666756
2787.500000	-60.601397
2800.000000	-61.346027
2812.500000	-62.081803
2825.000000	-63.022503
2837.500000	-63.510463
2850.000000	-62.099485
2862.500000	-60.447352
2875.000000	-59.380819
2887.500000	-59.323864
2900.000000	-60.268735
2912.500000	-61.373695
2925.000000	-61.316984
2937.500000	-57.661168
2950.000000	-44.348383
2962.500000	-29.222124
2975.000000	-18.731911
2987.500000	-12.651279
3000.000000	-10.592264
3012.500000	-12.417557
3025.000000	-18.223488
3037.500000	-28.341344
3050.000000	-43.097745
3062.500000	-58.001588
3075.000000	-62.707463
3087.500000	-62.488138
3100.000000	-61.751623
3112.500000	-61.495829
3125.000000	-61.207595
3137.500000	-60.536585
3150.000000	-60.039432
3162.500000	-59.486791
3175.000000	-58.898210
3187.500000	-58.865443
3200.000000	-59.556748
3212.500000	-60.993436
3225.000000	-62.660611
3237.500000	-63.809621
3250.000000	-64.110992
3262.500000	-62.459275
3275.000000	-61.173989
3287.500000	-61.743504
3300.000000	-63.061223
3312.500000	-62.569757
3325.000000	-62.031631
3337.500000	-63.317368
3350.000000	-64.890377
3362.500000	-64.201925
3375.000000	-64.003586
3387.500000	-64.569204
3400.000000	-64.241718
3412.500000	-63.596836
3425.000000	-62.831619
3437.500000	-61.385557
3450.000000	-59.655126
3462.500000	-58.848306
3475.000000	-59.279420
3487.500000	-60.281896
3500.000000	-61.204615
3512.500000	-61.459537
3525.000000	-60.892563
3537.500000	-60.933968
3550.000000	-62.047701
3562.500000	-62.276959
3575.000000	-62.059746
3587.500000	-63.141486
3600.000000	-63.655553
3612.500000	-62.935592
3625.000000	-61.949956
3637.500000	-61.403868
3650.000000	-61.488048
3662.500000	-61.644844
3675.000000	-61.358874
3687.500000	-60.456787
3700.000000	-60.185179
3712.500000	-60.579256
3725.000000	-60.472954
3737.500000	-60.323619
3750.000000	-60.750061
3762.500000	-61.402168
3775.000000	-61.394286
3787.500000	-61.783110
3800.000000	-63.017538
3812.500000	-63.011436
3825.000000	-61.891911
3837.500000	-61.182374
3850.000000	-61.127471
3862.500000	-61.129313
3875.000000	-60.651320
3887.500000	-59.211075
3900.000000	-57.470465
3912.500000	-56.505951
3925.000000	-56.013965
3937.500000	-55.418973
3950.000000	-54.341862
3962.500000	-52.993954
3975.000000	-51.845942
3987.500000	-51.285188
4000.000000	-51.618316
4012.500000	-52.334651
4025.000000	-52.507619
4037.500000	-52.728361
4050.000000	-53.809073
4062.500000	-55.678820
4075.000000	-57.619680
4087.500000	-58.782290
4100.000000	-59.206321
4112.500000	-59.371448
4125.000000	-59.616408
4137.500000	-59.968573
4150.000000	-60.180663
4162.500000	-60.456598
4175.000000	-61.277117
4187.500000	-61.885463
4200.000000	-61.186327
4212.500000	-60.257208
4225.000000	-59.731536
4237.500000	-59.199960
4250.000000	-59.090759
4262.500000	-59.991172
4275.000000	-61.515968
4287.500000	-62.857139
4300.000000	-63.535273
4312.500000	-63.299667
4325.000000	-62.606227
4337.500000	-62.755610
4350.000000	-62.692468
4362.500000	-61.781071
4375.000000	-61.185547
4387.500000	-61.421563
4400.000000	-61.840219
4412.500000	-61.314336
4425.000000	-60.979216
4437.500000	-61.618859
4450.000000	-62.801653
4462.500000	-63.289068
4475.000000	-63.012588
4487.500000	-63.245142
4500.000000	-62.982630
4512.500000	-62.328301
4525.000000	-62.515807
4537.500000	-62.835830
4550.000000	-62.810614
4562.500000	-62.220992
4575.000000	-61.221369
4587.500000	-60.371562
4600.000000	-59.440344
4612.500000	-58.874987
4625.000000	-58.901247
4637.500000	-59.262527
4650.000000	-59.769071
4662.500000	-59.962256
4675.000000	-60.292366
4687.500000	-60.857738
4700.000000	-60.549896
4712.500000	-60.538975
4725.000000	-61.354404
4737.500000	-62.138267
4750.000000	-62.754704
4762.500000	-62.545805
4775.000000	-61.072517
4787.500000	-60.226439
4800.000000	-61.380479
4812.500000	-63.454200
4825.000000	-63.030876
4837.500000	-61.587657
4850.000000	-60.947775
4862.500000	-60.960844
4875.000000	-61.177771
4887.500000	-61.266034
4900.000000	-61.518437
4912.500000	-61.717423
4925.000000	-59.897073
4937.500000	-55.651381
4950.000000	-47.382065
4962.500000	-33.760767
4975.000000	-23.302692
4987.500000	-17.159339
5000.000000	-15.030783
5012.500000	-16.780045
5025.000000	-22.493573
5037.500000	-32.479613
5050.000000	-46.851393
5062.500000	-59.116100
5075.000000	-62.876039
5087.500000	-62.596907
5100.000000	-61.963953
5112.500000	-61.803978
5125.000000	-62.107543
5137.500000	-62.806998
5150.000000	-61.873252
5162.500000	-59.703999
5175.000000	-58.367326
5187.500000	-57.940890
5200.000000	-57.957800
5212.500000	-57.823363
5225.000000	-57.866314
5237.500000	-58.705283
5250.000000	-59.732375
5262.500000	-60.484352
5275.000000	-61.460361
5287.500000	-62.751796
5300.000000	-63.181549
5312.500000	-61.257562
5325.000000	-59.304875
5337.500000	-58.419670
5350.000000	-58.322564
5362.500000	-58.848909
5375.000000	-59.879759
5387.500000	-59.912347
5400.000000	-59.476472
5412.500000	-60.657683
5425.000000	-62.896195
5437.500000	-63.097483
5450.000000	-61.991244
5462.500000	-61.367659
5475.000000	-61.110074
5487.500000	-61.052827
5500.000000	-61.212342
5512.500000	-61.188613
5525.000000	-61.228423
5537.500000	-61.688796
5550.000000	-62.321076
5562.500000	-63.786710
5575.000000	-65.640532
5587.500000	-64.245307
5600.000000	-62.794866
5612.500000	-63.278937
5625.000000	-63.796331
5637.500000	-61.275306
5650.000000	-59.495971
5662.500000	-60.121070
5675.000000	-62.563847
5687.500000	-63.198918
5700.000000	-61.600787
5712.500000	-60.818436
5725.000000	-60.949959
5737.500000	-61.177697
5750.000000	-61.152246
5762.500000	-61.448420
5775.000000	-62.486821
5787.500000	-62.852840
5800.000000	-62.247711
5812.500000	-61.694649
5825.000000	-60.907613
5837.500000	-60.392691
5850.000000	-60.501900
5862.500000	-61.127010
5875.000000	-61.452698
5887.500000	-60.679779
5900.000000	-59.563616
5912.500000	-58.301421
5925.000000	-57.018144
5937.500000	-55.865269
5950.000000	-54.577753
5962.500000	-52.743850
5975.000000	-50.855068
5987.500000	-49.915262
6000.000000	-50.170488
6012.500000	-51.073592
6025.000000	-52.134763
6037.500000	-53.250243
6050.000000	-54.273122
6062.500000	-55.253494
6075.000000	-56.685519
6087.500000	-58.640243
6100.000000	-60.084446
6112.500000	-60.776810
6125.000000	-61.227427
6137.500000	-61.041984
6150.000000	-60.816569
6162.500000	-60.762028
6175.000000	-60.717565
6187.500000	-60.714194
6200.000000	-60.534843
6212.500000	-60.745543
6225.000000	-61.773416
6237.500000	-63.238904
6250.000000	-63.939289
6262.500000	-63.108406
6275.000000	-61.560391
6287.500000	-60.768407
6300.000000	-61.389848
6312.500000	-62.326325
6325.000000	-62.826070
6337.500000	-62.828959
6350.000000	-62.383123
6362.500000	-62.164714
6375.000000	-62.247504
6387.500000	-62.274203
6400.000000	-61.243398
6412.500000	-60.134942
6425.000000	-60.359056
6437.500000	-61.282422
6450.000000	-61.748586
6462.500000	-61.450961
6475.000000	-61.258596
6487.500000	-61.912747
6500.000000	-62.238244
6512.500000	-62.557285
6525.000000	-63.544940
6537.500000	-63.753809
6550.000000	-62.453671
6562.500000	-61.149324
6575.000000	-61.854269
6587.500000	-64.391440
6600.000000	-64.987086
6612.500000	-62.215759
6625.000000	-60.360566
6637.500000	-59.973957
6650.000000	-60.707571
6662.500000	-62.052352
6675.000000	-63.251541
6687.500000	-64.103896
6700.000000	-63.446150
6712.500000	-61.702264
6725.000000	-60.988900
6737.500000	-61.565573
6750.000000	-62.239341
6762.500000	-61.902203
6775.000000	-61.463670
6787.500000	-61.708427
6800.000000	-61.433526
6812.500000	-60.409316
6825.000000	-60.198384
6837.500000	-60.067651
6850.000000	-59.686204
6862.500000	-60.005433
6875.000000	-60.210033
6887.500000	-60.008957
6900.000000	-60.357172
6912.500000	-61.005931
6925.000000	-60.033661
6937.500000	-56.783923
6950.000000	-49.429436
6962.500000	-36.676381
6975.000000	-26.334791
6987.500000	-20.154051
7000.000000	-17.960779
7012.500000	-19.629510
7025.000000	-25.226801
7037.500000	-34.990091
7050.000000	-48.598301
7062.500000	-58.396445
7075.000000	-61.583331
7087.500000	-61.538527
7100.000000	-61.250086
7112.500000	-61.984515
7125.000000	-62.513291
7137.500000	-62.905014
7150.000000	-63.455999
7162.500000	-63.319328
