Frequency	dBVrms
0.000000	0.117150
12.500000	1.182204
25.000000	-4.776003
37.500000	-15.150934
50.000000	-30.729399
62.500000	-52.118180
75.000000	-62.187798
87.500000	-61.255827
100.000000	-60.430898
112.500000	-61.179006
125.000000	-62.531781
137.500000	-63.335791
150.000000	-62.800791
162.500000	-60.689602
175.000000	-59.323915
187.500000	-58.704982
200.000000	-58.295593
212.500000	-57.876544
225.000000	-57.378546
237.500000	-57.484750
250.000000	-58.512664
262.500000	-59.292070
275.000000	-59.058482
287.500000	-59.657410
300.000000	-61.141574
312.500000	-61.573774
325.000000	-61.214704
337.500000	-60.844969
350.000000	-60.540333
362.500000	-60.030028
375.000000	-59.958878
387.500000	-60.229379
400.000000	-59.605428
412.500000	-59.190222
425.000000	-59.757277
437.500000	-59.547922
450.000000	-58.338612
462.500000	-58.464618
475.000000	-60.593553
487.500000	-63.246661
500.000000	-63.633765
512.500000	-63.437627
525.000000	-63.269452
537.500000	-62.165278
550.000000	-60.723698
562.500000	-60.721437
575.000000	-62.156297
587.500000	-62.843114
600.000000	-61.613609
612.500000	-60.208572
625.000000	-60.221756
637.500000	-62.098106
650.000000	-64.268815
662.500000	-63.768072
675.000000	-61.948830
687.500000	-61.722238
700.000000	-62.943403
712.500000	-63.491551
725.000000	-62.478670
737.500000	-61.398950
750.000000	-61.949181
762.500000	-62.522135
775.000000	-61.470014
787.500000	-60.580744
800.000000	-60.476057
812.500000	-61.285586
825.000000	-62.012121
837.500000	-62.033417
850.000000	-62.709181
862.500000	-64.058963
875.000000	-63.639438
887.500000	-62.292160
900.000000	-61.642674
912.500000	-61.146021
925.000000	-61.029153
937.500000	-61.766496
950.000000	-63.173465
962.500000	-63.737867
975.000000	-64.138182
987.500000	-64.471218
1000.000000	-63.045444
1012.500000	-61.768212
1025.000000	-61.355445
1037.500000	-62.442545
1050.000000	-64.593461
1062.500000	-64.207777
1075.000000	-64.292828
1087.500000	-65.938249
1100.000000	-65.075661
1112.500000	-62.819529
1125.000000	-61.924176
1137.500000	-61.824262
1150.000000	-62.260174
1162.500000	-62.582141
1175.000000	-61.575430
1187.500000	-61.055703
1200.000000	-61.274484
1212.500000	-61.514529
1225.000000	-62.045478
1237.500000	-62.759311
1250.000000	-62.172113
1262.500000	-61.011178
1275.000000	-60.861873
1287.500000	-61.355194
1300.000000	-61.552433
1312.500000	-60.769061
1325.000000	-60.179286
1337.500000	-61.589027
1350.000000	-64.393874
1362.500000	-62.524151
1375.000000	-60.175954
1387.500000	-60.684713
1400.000000	-63.210244
1412.500000	-64.943920
1425.000000	-64.226918
1437.500000	-63.479289
1450.000000	-62.272975
1462.500000	-59.747590
1475.000000	-58.268189
1487.500000	-58.567539
1500.000000	-60.045062
1512.500000	-62.048358
1525.000000	-62.960424
1537.500000	-62.105534
1550.000000	-61.673502
1562.500000	-60.958249
1575.000000	-60.416644
1587.500000	-61.641904
1600.000000	-63.627868
1612.500000	-63.956576
1625.000000	-63.710150
1637.500000	-62.626020
1650.000000	-61.654890
1662.500000	-60.696754
1675.000000	-59.975563
1687.500000	-59.438385
1700.000000	-59.221349
1712.500000	-60.264952
1725.000000	-61.903159
1737.500000	-62.605005
1750.000000	-62.374487
1762.500000	-61.884604
1775.000000	-62.193397
1787.500000	-62.912173
1800.000000	-63.052890
1812.500000	-62.972538
1825.000000	-62.823257
1837.500000	-62.750623
1850.000000	-62.801609
1862.500000	-62.699925
1875.000000	-61.732294
1887.500000	-61.087070
1900.000000	-61.225639
1912.500000	-60.995426
1925.000000	-60.762465
1937.500000	-61.712385
1950.000000	-63.544298
1962.500000	-63.413881
1975.000000	-61.522272
1987.500000	-60.086967
2000.000000	-59.765863
2012.500000	-59.762246
2025.000000	-59.655830
2037.500000	-60.385952
2050.000000	-62.677421
2062.500000	-60.522902
2075.000000	-56.162548
2087.500000	-55.272299
2100.000000	-57.851847
2112.500000	-62.524775
2125.000000	-62.597636
2137.500000	-60.291123
2150.000000	-59.215511
2162.500000	-59.278903
2175.000000	-60.168081
2187.500000	-60.727772
2200.000000	-61.228537
2212.500000	-63.139427
2225.000000	-64.527133
2237.500000	-63.203925
2250.000000	-61.299928
2262.500000	-60.077230
2275.000000	-60.270286
2287.500000	-62.410962
2300.000000	-64.211186
2312.500000	-62.470985
2325.000000	-60.788183
2337.500000	-60.243210
2350.000000	-61.166448
2362.500000	-61.376627
2375.000000	-59.706194
2387.500000	-59.216321
2400.000000	-59.487766
2412.500000	-59.668033
2425.000000	-60.319868
2437.500000	-61.268236
2450.000000	-61.495522
2462.500000	-60.540975
2475.000000	-59.250531
2487.500000	-58.284948
2500.000000	-58.294693
2512.500000	-59.547389
2525.000000	-61.458274
2537.500000	-62.615087
2550.000000	-62.593273
2562.500000	-62.506953
2575.000000	-61.392626
2587.500000	-60.213703
2600.000000	-60.980488
2612.500000	-62.040229
2625.000000	-60.242971
2637.500000	-59.163965
2650.000000	-60.388718
2662.500000	-62.201809
2675.000000	-61.417073
2687.500000	-60.516201
2700.000000	-60.316915
2712.500000	-60.681085
2725.000000	-61.466042
2737.500000	-61.131896
2750.000000	-60.066173
2762.500000	-60.010619
2775.000000	-61.265667
2787.500000	-61.732247
2800.000000	-60.969189
2812.500000	-60.420434
2825.000000	-59.882748
2837.500000	-59.607016
2850.000000	-60.371007
2862.500000	-61.690289
2875.000000	-61.675299
2887.500000	-60.369507
2900.000000	-59.958844
2912.500000	-60.893084
2925.000000	-62.046673
2937.500000	-61.281268
2950.000000	-60.166462
2962.500000	-60.455852
2975.000000	-61.355003
2987.500000	-61.911037
3000.000000	-62.376584
3012.500000	-62.694343
3025.000000	-62.235539
3037.500000	-61.713695
3050.000000	-61.693650
3062.500000	-61.856772
3075.000000	-62.151068
3087.500000	-62.015668
3100.000000	-61.075287
3112.500000	-59.956875
3125.000000	-59.554511
3137.500000	-60.038840
3150.000000	-61.614745
3162.500000	-63.534971
3175.000000	-62.670943
3187.500000	-60.998878
3200.000000	-60.672732
3212.500000	-61.665345
3225.000000	-62.320528
3237.500000	-62.252603
3250.000000	-62.282147
3262.500000	-61.277478
3275.000000	-59.566917
3287.500000	-59.044762
3300.000000	-59.907868
3312.500000	-60.621119
3325.000000	-60.518153
3337.500000	-59.514290
3350.000000	-58.786916
3362.500000	-59.520518
3375.000000	-60.350646
3387.500000	-61.105990
3400.000000	-63.175695
3412.500000	-64.539588
3425.000000	-63.119608
3437.500000	-62.863279
3450.000000	-62.307592
3462.500000	-60.961580
3475.000000	-60.380859
3487.500000	-60.004155
3500.000000	-59.712705
3512.500000	-60.153303
3525.000000	-61.668122
3537.500000	-62.939691
3550.000000	-62.663909
3562.500000	-62.047959
3575.000000	-60.801311
3587.500000	-59.671315
3600.000000	-59.543117
3612.500000	-60.315884
3625.000000	-61.210190
3637.500000	-61.513946
3650.000000	-60.791978
3662.500000	-59.629251
3675.000000	-59.300236
3687.500000	-59.900242
3700.000000	-61.320723
3712.500000	-63.466597
3725.000000	-64.973361
3737.500000	-65.106931
3750.000000	-64.159721
3762.500000	-62.684932
3775.000000	-62.239505
3787.500000	-62.875493
3800.000000	-61.834100
3812.500000	-59.493858
3825.000000	-59.042856
3837.500000	-60.322145
3850.000000	-60.984807
3862.500000	-59.833431
3875.000000	-59.301886
3887.500000	-60.192721
3900.000000	-61.013631
3912.500000	-60.926225
3925.000000	-60.864826
3937.500000	-61.253916
3950.000000	-62.436996
3962.500000	-62.588448
3975.000000	-61.403470
3987.500000	-61.705704
4000.000000	-63.311179
4012.500000	-63.262130
4025.000000	-62.539964
4037.500000	-62.440903
4050.000000	-62.294138
4062.500000	-61.643551
4075.000000	-60.749287
4087.500000	-60.086402
4100.000000	-59.640004
4112.500000	-60.216327
4125.000000	-62.220354
4137.500000	-63.394941
4150.000000	-62.476394
4162.500000	-61.992733
4175.000000	-60.558521
4187.500000	-59.104385
4200.000000	-59.689848
4212.500000	-61.692458
4225.000000	-61.698148
4237.500000	-60.690921
4250.000000	-60.820636
4262.500000	-61.347598
4275.000000	-61.455941
4287.500000	-61.245522
4300.000000	-61.591525
4312.500000	-62.931056
4325.000000	-64.377786
4337.500000	-64.478914
4350.000000	-62.923867
4362.500000	-61.072432
4375.000000	-60.253530
4387.500000	-60.692102
4400.000000	-62.215156
4412.500000	-64.097706
4425.000000	-64.942436
4437.500000	-64.275308
4450.000000	-63.553576
4462.500000	-63.039952
4475.000000	-62.247550
4487.500000	-61.373326
4500.000000	-60.342808
4512.500000	-60.073411
4525.000000	-61.462252
4537.500000	-62.498634
4550.000000	-62.078350
4562.500000	-62.457235
4575.000000	-62.205923
4587.500000	-62.182374
4600.000000	-63.380917
4612.500000	-63.241351
4625.000000	-62.019589
4637.500000	-61.735263
