waveform	Ch0		Gen	
t0	2/25/2020  12:54:13.476543		2/25/2020  12:54:13.476543	
delta t	2.000000E-6		2.000000E-6	

time[0]	Ch0	time[1]	Gen
2/25/2020  12:54:13.476543	-8.788184E-1	2/25/2020  12:54:13.476543	1.736051E+0
2/25/2020  12:54:13.476545	-9.209578E-1	2/25/2020  12:54:13.476545	1.736051E+0
2/25/2020  12:54:13.476547	-9.209578E-1	2/25/2020  12:54:13.476547	1.650789E+0
2/25/2020  12:54:13.476549	-9.630971E-1	2/25/2020  12:54:13.476549	1.650789E+0
2/25/2020  12:54:13.476551	-9.630971E-1	2/25/2020  12:54:13.476551	1.650789E+0
2/25/2020  12:54:13.476553	-9.209578E-1	2/25/2020  12:54:13.476553	1.693420E+0
2/25/2020  12:54:13.476555	-8.788184E-1	2/25/2020  12:54:13.476555	1.736051E+0
2/25/2020  12:54:13.476557	-8.788184E-1	2/25/2020  12:54:13.476557	1.736051E+0
2/25/2020  12:54:13.476559	-9.209578E-1	2/25/2020  12:54:13.476559	1.693420E+0
2/25/2020  12:54:13.476561	-9.209578E-1	2/25/2020  12:54:13.476561	1.736051E+0
2/25/2020  12:54:13.476563	-9.209578E-1	2/25/2020  12:54:13.476563	1.736051E+0
2/25/2020  12:54:13.476565	-9.209578E-1	2/25/2020  12:54:13.476565	1.736051E+0
2/25/2020  12:54:13.476567	-9.209578E-1	2/25/2020  12:54:13.476567	1.778681E+0
2/25/2020  12:54:13.476569	-9.209578E-1	2/25/2020  12:54:13.476569	1.736051E+0
2/25/2020  12:54:13.476571	-9.630971E-1	2/25/2020  12:54:13.476571	1.736051E+0
2/25/2020  12:54:13.476573	-9.630971E-1	2/25/2020  12:54:13.476573	1.736051E+0
2/25/2020  12:54:13.476575	-9.209578E-1	2/25/2020  12:54:13.476575	1.736051E+0
2/25/2020  12:54:13.476577	-9.209578E-1	2/25/2020  12:54:13.476577	1.736051E+0
2/25/2020  12:54:13.476579	-9.209578E-1	2/25/2020  12:54:13.476579	1.736051E+0
2/25/2020  12:54:13.476581	-8.788184E-1	2/25/2020  12:54:13.476581	1.736051E+0
2/25/2020  12:54:13.476583	-9.209578E-1	2/25/2020  12:54:13.476583	1.650789E+0
2/25/2020  12:54:13.476585	-9.630971E-1	2/25/2020  12:54:13.476585	1.650789E+0
2/25/2020  12:54:13.476587	-9.630971E-1	2/25/2020  12:54:13.476587	1.650789E+0
2/25/2020  12:54:13.476589	-8.788184E-1	2/25/2020  12:54:13.476589	1.693420E+0
2/25/2020  12:54:13.476591	-9.209578E-1	2/25/2020  12:54:13.476591	1.693420E+0
2/25/2020  12:54:13.476593	-9.209578E-1	2/25/2020  12:54:13.476593	1.693420E+0
2/25/2020  12:54:13.476595	-9.209578E-1	2/25/2020  12:54:13.476595	1.650789E+0
2/25/2020  12:54:13.476597	-9.630971E-1	2/25/2020  12:54:13.476597	1.650789E+0
2/25/2020  12:54:13.476599	-9.209578E-1	2/25/2020  12:54:13.476599	1.693420E+0
2/25/2020  12:54:13.476601	-9.209578E-1	2/25/2020  12:54:13.476601	1.736051E+0
2/25/2020  12:54:13.476603	-9.209578E-1	2/25/2020  12:54:13.476603	1.736051E+0
2/25/2020  12:54:13.476605	-8.788184E-1	2/25/2020  12:54:13.476605	1.736051E+0
2/25/2020  12:54:13.476607	-9.630971E-1	2/25/2020  12:54:13.476607	1.693420E+0
2/25/2020  12:54:13.476609	-9.630971E-1	2/25/2020  12:54:13.476609	1.693420E+0
2/25/2020  12:54:13.476611	-9.209578E-1	2/25/2020  12:54:13.476611	1.693420E+0
2/25/2020  12:54:13.476613	-8.788184E-1	2/25/2020  12:54:13.476613	1.736051E+0
2/25/2020  12:54:13.476615	-9.209578E-1	2/25/2020  12:54:13.476615	1.736051E+0
2/25/2020  12:54:13.476617	-8.788184E-1	2/25/2020  12:54:13.476617	1.736051E+0
2/25/2020  12:54:13.476619	-9.209578E-1	2/25/2020  12:54:13.476619	1.693420E+0
2/25/2020  12:54:13.476621	-9.630971E-1	2/25/2020  12:54:13.476621	1.693420E+0
2/25/2020  12:54:13.476623	-9.630971E-1	2/25/2020  12:54:13.476623	1.693420E+0
2/25/2020  12:54:13.476625	-9.209578E-1	2/25/2020  12:54:13.476625	1.693420E+0
2/25/2020  12:54:13.476627	-8.788184E-1	2/25/2020  12:54:13.476627	1.736051E+0
2/25/2020  12:54:13.476629	-9.209578E-1	2/25/2020  12:54:13.476629	1.736051E+0
2/25/2020  12:54:13.476631	-9.630971E-1	2/25/2020  12:54:13.476631	1.693420E+0
2/25/2020  12:54:13.476633	-9.630971E-1	2/25/2020  12:54:13.476633	1.693420E+0
2/25/2020  12:54:13.476635	-9.209578E-1	2/25/2020  12:54:13.476635	1.693420E+0
2/25/2020  12:54:13.476637	-8.788184E-1	2/25/2020  12:54:13.476637	1.693420E+0
2/25/2020  12:54:13.476639	-8.788184E-1	2/25/2020  12:54:13.476639	1.736051E+0
2/25/2020  12:54:13.476641	-8.788184E-1	2/25/2020  12:54:13.476641	1.736051E+0
2/25/2020  12:54:13.476643	6.107945E-3	2/25/2020  12:54:13.476643	1.736051E+0
2/25/2020  12:54:13.476645	-3.603141E-2	2/25/2020  12:54:13.476645	1.693420E+0
2/25/2020  12:54:13.476647	6.107945E-3	2/25/2020  12:54:13.476647	1.693420E+0
2/25/2020  12:54:13.476649	6.107945E-3	2/25/2020  12:54:13.476649	1.693420E+0
2/25/2020  12:54:13.476651	6.107945E-3	2/25/2020  12:54:13.476651	1.778681E+0
2/25/2020  12:54:13.476653	6.107945E-3	2/25/2020  12:54:13.476653	1.736051E+0
2/25/2020  12:54:13.476655	6.107945E-3	2/25/2020  12:54:13.476655	1.736051E+0
2/25/2020  12:54:13.476657	-3.603141E-2	2/25/2020  12:54:13.476657	1.693420E+0
2/25/2020  12:54:13.476659	-3.603141E-2	2/25/2020  12:54:13.476659	1.693420E+0
2/25/2020  12:54:13.476661	6.107945E-3	2/25/2020  12:54:13.476661	1.736051E+0
2/25/2020  12:54:13.476663	6.107945E-3	2/25/2020  12:54:13.476663	1.736051E+0
2/25/2020  12:54:13.476665	6.107945E-3	2/25/2020  12:54:13.476665	1.736051E+0
2/25/2020  12:54:13.476667	-3.603141E-2	2/25/2020  12:54:13.476667	1.693420E+0
2/25/2020  12:54:13.476669	6.107945E-3	2/25/2020  12:54:13.476669	1.693420E+0
2/25/2020  12:54:13.476671	6.107945E-3	2/25/2020  12:54:13.476671	1.693420E+0
2/25/2020  12:54:13.476673	6.107945E-3	2/25/2020  12:54:13.476673	1.693420E+0
2/25/2020  12:54:13.476675	-3.603141E-2	2/25/2020  12:54:13.476675	1.650789E+0
2/25/2020  12:54:13.476677	-3.603141E-2	2/25/2020  12:54:13.476677	1.650789E+0
2/25/2020  12:54:13.476679	6.107945E-3	2/25/2020  12:54:13.476679	1.608158E+0
2/25/2020  12:54:13.476681	6.107945E-3	2/25/2020  12:54:13.476681	1.608158E+0
2/25/2020  12:54:13.476683	6.107945E-3	2/25/2020  12:54:13.476683	1.608158E+0
2/25/2020  12:54:13.476685	-3.603141E-2	2/25/2020  12:54:13.476685	1.565528E+0
2/25/2020  12:54:13.476687	6.107945E-3	2/25/2020  12:54:13.476687	1.480266E+0
2/25/2020  12:54:13.476689	-3.603141E-2	2/25/2020  12:54:13.476689	1.395005E+0
2/25/2020  12:54:13.476691	6.107945E-3	2/25/2020  12:54:13.476691	1.395005E+0
2/25/2020  12:54:13.476693	6.107945E-3	2/25/2020  12:54:13.476693	1.309743E+0
2/25/2020  12:54:13.476695	-3.603141E-2	2/25/2020  12:54:13.476695	1.181851E+0
2/25/2020  12:54:13.476697	-3.603141E-2	2/25/2020  12:54:13.476697	1.053959E+0
2/25/2020  12:54:13.476699	6.107945E-3	2/25/2020  12:54:13.476699	1.011328E+0
2/25/2020  12:54:13.476701	6.107945E-3	2/25/2020  12:54:13.476701	9.260670E-1
2/25/2020  12:54:13.476703	6.107945E-3	2/25/2020  12:54:13.476703	7.981748E-1
2/25/2020  12:54:13.476705	-3.603141E-2	2/25/2020  12:54:13.476705	6.702826E-1
2/25/2020  12:54:13.476707	-3.603141E-2	2/25/2020  12:54:13.476707	5.850212E-1
2/25/2020  12:54:13.476709	-3.603141E-2	2/25/2020  12:54:13.476709	4.571290E-1
2/25/2020  12:54:13.476711	6.107945E-3	2/25/2020  12:54:13.476711	4.144983E-1
2/25/2020  12:54:13.476713	6.107945E-3	2/25/2020  12:54:13.476713	3.718676E-1
2/25/2020  12:54:13.476715	-3.603141E-2	2/25/2020  12:54:13.476715	2.439754E-1
2/25/2020  12:54:13.476717	-3.603141E-2	2/25/2020  12:54:13.476717	2.013447E-1
2/25/2020  12:54:13.476719	-3.603141E-2	2/25/2020  12:54:13.476719	2.013447E-1
2/25/2020  12:54:13.476721	6.107945E-3	2/25/2020  12:54:13.476721	1.587140E-1
2/25/2020  12:54:13.476723	6.107945E-3	2/25/2020  12:54:13.476723	2.013447E-1
2/25/2020  12:54:13.476725	-3.603141E-2	2/25/2020  12:54:13.476725	1.587140E-1
2/25/2020  12:54:13.476727	-3.603141E-2	2/25/2020  12:54:13.476727	1.587140E-1
2/25/2020  12:54:13.476729	-3.603141E-2	2/25/2020  12:54:13.476729	2.013447E-1
2/25/2020  12:54:13.476731	6.107945E-3	2/25/2020  12:54:13.476731	2.439754E-1
2/25/2020  12:54:13.476733	6.107945E-3	2/25/2020  12:54:13.476733	3.292369E-1
2/25/2020  12:54:13.476735	-3.603141E-2	2/25/2020  12:54:13.476735	2.866061E-1
2/25/2020  12:54:13.476737	-7.817076E-2	2/25/2020  12:54:13.476737	3.292369E-1
2/25/2020  12:54:13.476739	6.107945E-3	2/25/2020  12:54:13.476739	3.292369E-1
2/25/2020  12:54:13.476741	6.107945E-3	2/25/2020  12:54:13.476741	3.718676E-1
2/25/2020  12:54:13.476743	6.107945E-3	2/25/2020  12:54:13.476743	3.718676E-1
2/25/2020  12:54:13.476745	-3.603141E-2	2/25/2020  12:54:13.476745	3.292369E-1
2/25/2020  12:54:13.476747	-7.817076E-2	2/25/2020  12:54:13.476747	2.866061E-1
2/25/2020  12:54:13.476749	-3.603141E-2	2/25/2020  12:54:13.476749	3.292369E-1
2/25/2020  12:54:13.476751	-3.603141E-2	2/25/2020  12:54:13.476751	3.292369E-1
2/25/2020  12:54:13.476753	6.107945E-3	2/25/2020  12:54:13.476753	2.866061E-1
2/25/2020  12:54:13.476755	-3.603141E-2	2/25/2020  12:54:13.476755	2.439754E-1
2/25/2020  12:54:13.476757	-3.603141E-2	2/25/2020  12:54:13.476757	2.013447E-1
2/25/2020  12:54:13.476759	-3.603141E-2	2/25/2020  12:54:13.476759	2.439754E-1
2/25/2020  12:54:13.476761	6.107945E-3	2/25/2020  12:54:13.476761	2.439754E-1
2/25/2020  12:54:13.476763	6.107945E-3	2/25/2020  12:54:13.476763	2.013447E-1
2/25/2020  12:54:13.476765	-3.603141E-2	2/25/2020  12:54:13.476765	1.587140E-1
2/25/2020  12:54:13.476767	-3.603141E-2	2/25/2020  12:54:13.476767	1.587140E-1
2/25/2020  12:54:13.476769	6.107945E-3	2/25/2020  12:54:13.476769	2.013447E-1
2/25/2020  12:54:13.476771	6.107945E-3	2/25/2020  12:54:13.476771	2.439754E-1
2/25/2020  12:54:13.476773	-3.603141E-2	2/25/2020  12:54:13.476773	2.439754E-1
2/25/2020  12:54:13.476775	6.107945E-3	2/25/2020  12:54:13.476775	2.013447E-1
