Frequency	dBVrms
0.000000	-44.197830
12.500000	-42.894427
25.000000	-47.620621
37.500000	-52.997158
50.000000	-55.992911
62.500000	-58.557513
75.000000	-60.513686
87.500000	-60.663686
100.000000	-60.338336
112.500000	-60.328320
125.000000	-59.628396
137.500000	-58.285481
150.000000	-57.727911
162.500000	-57.326126
175.000000	-56.826250
187.500000	-57.189828
200.000000	-58.076746
212.500000	-59.474997
225.000000	-62.088901
237.500000	-62.180680
250.000000	-59.803779
262.500000	-58.789334
275.000000	-58.565534
287.500000	-58.437160
300.000000	-58.947497
312.500000	-60.108001
325.000000	-60.106888
337.500000	-58.318153
350.000000	-57.025877
362.500000	-58.037721
375.000000	-61.180890
387.500000	-63.979178
400.000000	-64.529857
412.500000	-62.599191
425.000000	-60.199507
437.500000	-58.825214
450.000000	-58.300354
462.500000	-58.185968
475.000000	-58.721249
487.500000	-60.920238
500.000000	-65.137150
512.500000	-66.456095
525.000000	-64.316152
537.500000	-63.579202
550.000000	-63.389369
562.500000	-63.221106
575.000000	-62.228602
587.500000	-60.468744
600.000000	-60.473971
612.500000	-62.019027
625.000000	-64.089141
637.500000	-67.520131
650.000000	-62.821206
662.500000	-58.666616
675.000000	-58.128947
687.500000	-59.530542
700.000000	-59.365301
712.500000	-57.529987
725.000000	-56.950443
737.500000	-58.414631
750.000000	-60.244431
762.500000	-60.740293
775.000000	-61.656348
787.500000	-62.241577
800.000000	-62.674877
812.500000	-63.716662
825.000000	-64.460629
837.500000	-64.161822
850.000000	-62.412293
862.500000	-62.223917
875.000000	-63.009500
887.500000	-62.096607
900.000000	-61.000551
912.500000	-60.097397
925.000000	-60.575863
937.500000	-62.436128
950.000000	-63.073142
962.500000	-61.757369
975.000000	-60.689077
987.500000	-60.493811
1000.000000	-61.113327
1012.500000	-61.661261
1025.000000	-61.342730
1037.500000	-62.383420
1050.000000	-62.715245
1062.500000	-60.632614
1075.000000	-59.050489
1087.500000	-58.519595
1100.000000	-58.380829
1112.500000	-58.669514
1125.000000	-59.605566
1137.500000	-60.634789
1150.000000	-61.171061
1162.500000	-61.186432
1175.000000	-60.723321
1187.500000	-58.615819
1200.000000	-56.225760
1212.500000	-55.634605
1225.000000	-56.793744
1237.500000	-57.709527
1250.000000	-57.659262
1262.500000	-58.417035
1275.000000	-59.503040
1287.500000	-59.198389
1300.000000	-58.389121
1312.500000	-58.423478
1325.000000	-59.112487
1337.500000	-60.415518
1350.000000	-62.577344
1362.500000	-62.521663
1375.000000	-60.243417
1387.500000	-59.325990
1400.000000	-59.727778
1412.500000	-60.329113
1425.000000	-61.159400
1437.500000	-63.010490
1450.000000	-64.560130
1462.500000	-63.175979
1475.000000	-62.456824
1487.500000	-63.764092
1500.000000	-62.578168
1512.500000	-59.776426
1525.000000	-58.921519
1537.500000	-58.861981
1550.000000	-58.429260
1562.500000	-57.975664
1575.000000	-58.271631
1587.500000	-59.725936
1600.000000	-62.000953
1612.500000	-63.420356
1625.000000	-62.364058
1637.500000	-61.142860
1650.000000	-61.175734
1662.500000	-61.895922
1675.000000	-63.326786
1687.500000	-65.766304
1700.000000	-66.662330
1712.500000	-65.504214
1725.000000	-62.944841
1737.500000	-60.776696
1750.000000	-60.732266
1762.500000	-62.642026
1775.000000	-63.910706
1787.500000	-62.556526
1800.000000	-60.438511
1812.500000	-58.733739
1825.000000	-58.260780
1837.500000	-58.775435
1850.000000	-58.991890
1862.500000	-58.437977
1875.000000	-57.811184
1887.500000	-57.576145
1900.000000	-58.027151
1912.500000	-59.333767
1925.000000	-61.131650
1937.500000	-61.836428
1950.000000	-61.013608
1962.500000	-59.778097
1975.000000	-58.926490
1987.500000	-59.082588
2000.000000	-60.204853
2012.500000	-61.260469
2025.000000	-61.670363
2037.500000	-62.204720
2050.000000	-61.502185
2062.500000	-60.028637
2075.000000	-59.591658
2087.500000	-59.888635
2100.000000	-60.263871
2112.500000	-61.113011
2125.000000	-62.661010
2137.500000	-63.725537
2150.000000	-65.210696
2162.500000	-67.200991
2175.000000	-62.606280
2187.500000	-60.049790
2200.000000	-60.217474
2212.500000	-61.182263
2225.000000	-62.018226
2237.500000	-63.041354
2250.000000	-62.370057
2262.500000	-60.515953
2275.000000	-59.826529
2287.500000	-60.734263
2300.000000	-62.135469
2312.500000	-61.585997
2325.000000	-59.678142
2337.500000	-59.287515
2350.000000	-61.396545
2362.500000	-64.090552
2375.000000	-63.465917
2387.500000	-62.209736
2400.000000	-61.798751
2412.500000	-62.789168
2425.000000	-63.221505
2437.500000	-60.553708
2450.000000	-58.867568
2462.500000	-59.726659
2475.000000	-62.029874
2487.500000	-62.760605
2500.000000	-61.025483
2512.500000	-58.602944
2525.000000	-57.236547
2537.500000	-57.242488
2550.000000	-57.553490
2562.500000	-57.037400
2575.000000	-56.775282
2587.500000	-57.706338
2600.000000	-58.867331
2612.500000	-59.987543
2625.000000	-62.100948
2637.500000	-62.912997
2650.000000	-62.796144
2662.500000	-63.360164
2675.000000	-63.057919
2687.500000	-63.084873
2700.000000	-64.097491
2712.500000	-64.210574
2725.000000	-62.927172
2737.500000	-61.431920
2750.000000	-59.951651
2762.500000	-58.969341
2775.000000	-59.245030
2787.500000	-61.660479
2800.000000	-62.572085
2812.500000	-57.720096
2825.000000	-56.029376
2837.500000	-57.519664
2850.000000	-59.993361
2862.500000	-60.469828
2875.000000	-60.682908
2887.500000	-62.203203
2900.000000	-63.832157
2912.500000	-64.780954
2925.000000	-64.159056
2937.500000	-63.098162
2950.000000	-61.519926
2962.500000	-59.896571
2975.000000	-60.190814
2987.500000	-61.249728
3000.000000	-62.184039
3012.500000	-63.236946
3025.000000	-63.540697
3037.500000	-63.538617
3050.000000	-63.851952
3062.500000	-63.603481
3075.000000	-62.109534
3087.500000	-60.827627
3100.000000	-61.156968
3112.500000	-62.768789
3125.000000	-62.939498
3137.500000	-61.241147
3150.000000	-60.664230
3162.500000	-62.533820
3175.000000	-64.287493
3187.500000	-61.134045
3200.000000	-59.724369
3212.500000	-61.238997
3225.000000	-64.215017
3237.500000	-65.033040
3250.000000	-63.637008
3262.500000	-61.049308
3275.000000	-58.624400
3287.500000	-57.791661
3300.000000	-58.490748
3312.500000	-59.749496
3325.000000	-60.914598
3337.500000	-60.458146
3350.000000	-59.540721
3362.500000	-59.805456
3375.000000	-61.156536
3387.500000	-63.925519
3400.000000	-65.805725
3412.500000	-63.759916
3425.000000	-62.157477
3437.500000	-61.551918
3450.000000	-61.763740
3462.500000	-61.172386
3475.000000	-59.497530
3487.500000	-58.927798
3500.000000	-59.506204
3512.500000	-60.092135
3525.000000	-60.860007
3537.500000	-63.365079
3550.000000	-63.389334
3562.500000	-59.571352
3575.000000	-58.456144
3587.500000	-58.943562
3600.000000	-59.470292
3612.500000	-60.188382
3625.000000	-60.946118
3637.500000	-60.840061
3650.000000	-61.186024
3662.500000	-62.421068
3675.000000	-64.694613
3687.500000	-64.477615
3700.000000	-62.188313
3712.500000	-61.658496
3725.000000	-61.802746
3737.500000	-62.373633
3750.000000	-63.777126
3762.500000	-63.982789
3775.000000	-62.859920
3787.500000	-62.464563
3800.000000	-62.056094
3812.500000	-62.061788
3825.000000	-63.379702
3837.500000	-65.109181
3850.000000	-63.327440
3862.500000	-60.434390
3875.000000	-58.508599
3887.500000	-57.239577
3900.000000	-56.450977
3912.500000	-56.476429
3925.000000	-57.946593
3937.500000	-61.367897
3950.000000	-62.715881
3962.500000	-59.698596
3975.000000	-57.940917
3987.500000	-57.944034
4000.000000	-59.335267
4012.500000	-61.511365
4025.000000	-62.334485
4037.500000	-61.631511
4050.000000	-61.411249
4062.500000	-61.528626
4075.000000	-60.549201
4087.500000	-58.913909
4100.000000	-58.554436
4112.500000	-59.834360
4125.000000	-61.672494
4137.500000	-63.213226
4150.000000	-64.223779
4162.500000	-64.275401
4175.000000	-63.384756
4187.500000	-62.167111
4200.000000	-61.463391
4212.500000	-61.062707
4225.000000	-60.994564
4237.500000	-62.498474
4250.000000	-64.212793
4262.500000	-63.935491
4275.000000	-62.092748
4287.500000	-60.197088
4300.000000	-60.592735
4312.500000	-63.654305
4325.000000	-64.992622
4337.500000	-61.751371
4350.000000	-59.640446
4362.500000	-58.824509
4375.000000	-59.587592
4387.500000	-62.171705
4400.000000	-60.435867
4412.500000	-57.708480
4425.000000	-58.046150
4437.500000	-60.220166
4450.000000	-62.850149
4462.500000	-64.272765
4475.000000	-63.913893
4487.500000	-63.791191
4500.000000	-64.661944
4512.500000	-64.407901
4525.000000	-62.778594
4537.500000	-61.581514
4550.000000	-60.090431
4562.500000	-59.267555
4575.000000	-60.127065
4587.500000	-61.899013
4600.000000	-62.714208
4612.500000	-62.817383
4625.000000	-62.927130
4637.500000	-61.911242
4650.000000	-59.240288
4662.500000	-57.974314
4675.000000	-59.417341
4687.500000	-62.613779
4700.000000	-62.719859
4712.500000	-60.651257
4725.000000	-60.343220
4737.500000	-60.501014
4750.000000	-59.561072
4762.500000	-58.936262
4775.000000	-58.976875
4787.500000	-59.853486
4800.000000	-60.307240
4812.500000	-59.514885
4825.000000	-59.329132
4837.500000	-60.161384
4850.000000	-61.504583
4862.500000	-62.135777
4875.000000	-61.185451
4887.500000	-58.508435
4900.000000	-56.048367
4912.500000	-55.392487
4925.000000	-56.548732
4937.500000	-58.560217
4950.000000	-59.202145
4962.500000	-58.836186
4975.000000	-59.400652
4987.500000	-60.487940
5000.000000	-60.921716
5012.500000	-61.576510
5025.000000	-63.107153
5037.500000	-63.949607
5050.000000	-63.919749
5062.500000	-62.414336
5075.000000	-60.442943
5087.500000	-60.348935
5100.000000	-61.765475
5112.500000	-62.045683
5125.000000	-61.742388
5137.500000	-62.022639
5150.000000	-62.745173
5162.500000	-62.482093
5175.000000	-60.602971
5187.500000	-59.284320
5200.000000	-58.985531
5212.500000	-58.867166
5225.000000	-59.448001
5237.500000	-61.237502
5250.000000	-62.433394
5262.500000	-61.662624
5275.000000	-60.403024
5287.500000	-60.540153
5300.000000	-62.163132
5312.500000	-62.752528
5325.000000	-61.532849
5337.500000	-60.469179
5350.000000	-60.814742
5362.500000	-62.514610
5375.000000	-63.278587
5387.500000	-63.099653
5400.000000	-63.346791
5412.500000	-62.377553
5425.000000	-60.124650
5437.500000	-59.634253
5450.000000	-61.892168
5462.500000	-64.466704
5475.000000	-62.357205
5487.500000	-61.097053
5500.000000	-61.653360
5512.500000	-60.074213
5525.000000	-58.663920
5537.500000	-59.428477
5550.000000	-60.997441
5562.500000	-61.789044
5575.000000	-63.441325
5587.500000	-66.464710
5600.000000	-63.850438
5612.500000	-60.536760
5625.000000	-59.849291
5637.500000	-60.442848
5650.000000	-60.036062
5662.500000	-59.297899
5675.000000	-59.507170
5687.500000	-59.778629
5700.000000	-59.040551
5712.500000	-58.554401
5725.000000	-59.477520
5737.500000	-60.463800
5750.000000	-60.531108
5762.500000	-60.636021
5775.000000	-60.751779
5787.500000	-60.481792
5800.000000	-60.355610
5812.500000	-60.248820
5825.000000	-60.040021
5837.500000	-60.183942
5850.000000	-61.659888
5862.500000	-64.214508
5875.000000	-63.160539
5887.500000	-61.351325
5900.000000	-62.662117
5912.500000	-64.347873
5925.000000	-62.219650
5937.500000	-60.942409
5950.000000	-60.195466
5962.500000	-58.589054
5975.000000	-57.490416
5987.500000	-58.776634
6000.000000	-62.683961
6012.500000	-63.187616
6025.000000	-61.931911
6037.500000	-61.606967
6050.000000	-61.401670
6062.500000	-61.992269
6075.000000	-63.994192
6087.500000	-65.551343
6100.000000	-63.629882
6112.500000	-61.829645
6125.000000	-61.756161
6137.500000	-62.513942
6150.000000	-62.651754
6162.500000	-62.920396
6175.000000	-62.996210
6187.500000	-61.947806
6200.000000	-60.632040
6212.500000	-59.960857
6225.000000	-59.953878
6237.500000	-60.611685
6250.000000	-62.165483
6262.500000	-63.698345
6275.000000	-63.096848
6287.500000	-62.472778
6300.000000	-63.400225
6312.500000	-64.676462
6325.000000	-65.306078
6337.500000	-65.005899
6350.000000	-64.105816
6362.500000	-62.631222
6375.000000	-60.790973
6387.500000	-60.110604
6400.000000	-60.312175
6412.500000	-61.195417
6425.000000	-63.943012
6437.500000	-63.662040
6450.000000	-61.352649
6462.500000	-61.269140
6475.000000	-62.165743
6487.500000	-61.882114
6500.000000	-60.312005
6512.500000	-59.756806
6525.000000	-61.417235
6537.500000	-63.686791
6550.000000	-63.517926
6562.500000	-61.251731
6575.000000	-59.632704
6587.500000	-60.663355
6600.000000	-64.614085
6612.500000	-63.634860
6625.000000	-60.674260
6637.500000	-60.299029
6650.000000	-61.396145
6662.500000	-63.061525
6675.000000	-64.365661
6687.500000	-64.233065
6700.000000	-64.104589
6712.500000	-62.141268
6725.000000	-58.662856
6737.500000	-56.950411
6750.000000	-56.971526
6762.500000	-58.303321
6775.000000	-61.393222
6787.500000	-63.436841
6800.000000	-62.007925
6812.500000	-61.393898
6825.000000	-61.763016
6837.500000	-61.456729
6850.000000	-60.656966
6862.500000	-60.897153
6875.000000	-61.965868
6887.500000	-61.781275
6900.000000	-60.142842
6912.500000	-60.228165
6925.000000	-62.155626
6937.500000	-63.162861
6950.000000	-62.763057
6962.500000	-62.132264
6975.000000	-59.762946
6987.500000	-57.837692
7000.000000	-57.752794
7012.500000	-58.720155
7025.000000	-59.138633
7037.500000	-58.765314
7050.000000	-58.753271
7062.500000	-59.355953
7075.000000	-60.021614
7087.500000	-59.964415
7100.000000	-60.947867
7112.500000	-62.279773
7125.000000	-62.130664
7137.500000	-61.422008
7150.000000	-60.562787
7162.500000	-60.765989
7175.000000	-62.496561
7187.500000	-64.076297
7200.000000	-63.063881
7212.500000	-61.664518
7225.000000	-61.092719
7237.500000	-61.279107
7250.000000	-60.753999
7262.500000	-59.665770
7275.000000	-58.832973
7287.500000	-57.889207
7300.000000	-57.645393
7312.500000	-58.613448
