Frequency	dBVrms
0.000000	-23.397247
12.500000	-41.508130
25.000000	-40.298894
37.500000	-40.041403
50.000000	-38.145725
62.500000	-37.701263
75.000000	-36.124147
87.500000	-34.907297
100.000000	-35.432724
112.500000	-34.114782
125.000000	-34.014455
137.500000	-33.802432
150.000000	-32.591649
162.500000	-32.433497
175.000000	-31.770334
187.500000	-32.040951
200.000000	-31.632183
212.500000	-31.519916
225.000000	-31.022989
237.500000	-31.320874
250.000000	-30.908320
262.500000	-30.566371
275.000000	-30.820304
287.500000	-30.958146
300.000000	-30.807439
312.500000	-30.693668
325.000000	-30.328580
337.500000	-31.038424
350.000000	-30.088521
362.500000	-30.547008
375.000000	-30.436402
387.500000	-30.295807
400.000000	-29.514476
412.500000	-30.290220
425.000000	-30.604821
437.500000	-29.433802
450.000000	-30.153845
462.500000	-30.362591
475.000000	-29.939724
487.500000	-29.327985
500.000000	-29.657580
512.500000	-29.826607
525.000000	-29.766875
537.500000	-30.285635
550.000000	-30.422047
562.500000	-29.696151
575.000000	-29.532600
587.500000	-29.803945
600.000000	-30.304965
612.500000	-29.989904
625.000000	-30.171518
637.500000	-29.548138
650.000000	-29.790664
662.500000	-29.763065
675.000000	-29.556357
687.500000	-29.355289
700.000000	-29.452678
712.500000	-29.719814
725.000000	-29.668063
737.500000	-30.414446
750.000000	-29.594961
762.500000	-30.232846
775.000000	-29.789076
787.500000	-30.316374
800.000000	-29.902744
812.500000	-30.009137
825.000000	-29.663838
837.500000	-30.200589
850.000000	-30.118055
862.500000	-29.963951
875.000000	-30.120618
887.500000	-29.620890
900.000000	-30.060184
912.500000	-29.854932
925.000000	-29.902311
937.500000	-30.245114
950.000000	-30.011692
962.500000	-29.901024
975.000000	-30.301624
987.500000	-30.298273
1000.000000	-29.723496
1012.500000	-29.941321
1025.000000	-29.594158
1037.500000	-29.937867
1050.000000	-29.636804
1062.500000	-30.177773
1075.000000	-30.085572
1087.500000	-29.601525
1100.000000	-29.832813
1112.500000	-29.883425
1125.000000	-30.458555
1137.500000	-30.356223
1150.000000	-30.181947
1162.500000	-30.168601
1175.000000	-30.236190
1187.500000	-30.181107
1200.000000	-30.125744
1212.500000	-30.051352
1225.000000	-30.633190
1237.500000	-30.250726
1250.000000	-30.381268
1262.500000	-30.450281
1275.000000	-29.905621
1287.500000	-29.665839
1300.000000	-30.220868
1312.500000	-30.013626
1325.000000	-30.666035
1337.500000	-30.475622
1350.000000	-30.363365
1362.500000	-30.371250
1375.000000	-30.140567
1387.500000	-30.193941
1400.000000	-30.198380
1412.500000	-30.086062
1425.000000	-30.145027
1437.500000	-30.547327
1450.000000	-30.056036
1462.500000	-30.303309
1475.000000	-30.380910
1487.500000	-30.337184
1500.000000	-31.071813
