Frequency	dBVrms
0.000000	-44.745493
12.500000	-43.619218
25.000000	-49.267911
37.500000	-57.542174
50.000000	-59.588653
62.500000	-57.452200
75.000000	-56.089896
87.500000	-56.207649
100.000000	-58.515462
112.500000	-61.353424
125.000000	-61.102395
137.500000	-61.509343
150.000000	-63.224703
162.500000	-62.592825
175.000000	-60.064622
187.500000	-59.019738
200.000000	-60.336514
212.500000	-61.178391
225.000000	-60.046540
237.500000	-60.394226
250.000000	-62.125710
262.500000	-63.331445
275.000000	-62.756400
287.500000	-62.459047
300.000000	-62.993047
312.500000	-62.138081
325.000000	-61.949924
337.500000	-62.416503
350.000000	-60.854615
362.500000	-60.749040
375.000000	-62.441214
387.500000	-62.349503
400.000000	-60.780833
412.500000	-58.930604
425.000000	-57.359703
437.500000	-56.548334
450.000000	-56.437752
462.500000	-57.564059
475.000000	-61.246919
487.500000	-65.261868
500.000000	-62.884069
512.500000	-61.593847
525.000000	-61.741470
537.500000	-61.053146
550.000000	-59.094881
562.500000	-57.962968
575.000000	-58.283220
587.500000	-59.887976
600.000000	-61.329810
612.500000	-61.493362
625.000000	-61.498439
637.500000	-61.248303
650.000000	-61.468479
662.500000	-61.872254
675.000000	-62.793855
687.500000	-64.953076
700.000000	-63.302911
712.500000	-61.129330
725.000000	-61.378593
737.500000	-61.927588
750.000000	-59.796744
762.500000	-57.240888
775.000000	-55.882222
787.500000	-55.789411
800.000000	-56.455331
812.500000	-56.496210
825.000000	-57.036529
837.500000	-59.583879
850.000000	-62.947358
862.500000	-64.175123
875.000000	-63.878984
887.500000	-62.744479
900.000000	-60.738036
912.500000	-59.216133
925.000000	-58.589155
937.500000	-58.323718
950.000000	-58.012638
962.500000	-58.369315
975.000000	-59.688854
987.500000	-60.306489
1000.000000	-59.712766
1012.500000	-59.455180
1025.000000	-60.008763
1037.500000	-60.846888
1050.000000	-61.892243
1062.500000	-63.383022
1075.000000	-63.471587
1087.500000	-63.807787
1100.000000	-65.305509
1112.500000	-66.516772
1125.000000	-65.875587
1137.500000	-62.953825
1150.000000	-60.858394
1162.500000	-60.889022
1175.000000	-62.352460
1187.500000	-63.234805
1200.000000	-63.140880
1212.500000	-63.438392
1225.000000	-63.777255
1237.500000	-63.592827
1250.000000	-63.003192
1262.500000	-62.306793
1275.000000	-61.976692
1287.500000	-61.198297
1300.000000	-60.326400
1312.500000	-60.226830
1325.000000	-60.542870
1337.500000	-61.733185
1350.000000	-64.091767
1362.500000	-66.418347
1375.000000	-65.884942
1387.500000	-64.153869
1400.000000	-63.683436
1412.500000	-65.277657
1425.000000	-67.216557
1437.500000	-66.033644
1450.000000	-63.175712
1462.500000	-61.072151
1475.000000	-61.552320
1487.500000	-63.608256
1500.000000	-64.166120
1512.500000	-63.830277
1525.000000	-61.368125
1537.500000	-59.243767
1550.000000	-58.858457
1562.500000	-60.232602
1575.000000	-61.335524
1587.500000	-61.154599
1600.000000	-60.042011
1612.500000	-58.758230
1625.000000	-59.075391
1637.500000	-61.090528
1650.000000	-62.772873
1662.500000	-61.550104
1675.000000	-60.488121
1687.500000	-60.738047
1700.000000	-61.656421
1712.500000	-61.654978
1725.000000	-60.563307
1737.500000	-60.385633
1750.000000	-61.164097
1762.500000	-61.318368
1775.000000	-60.852514
1787.500000	-61.063686
1800.000000	-60.898982
1812.500000	-59.872681
1825.000000	-59.897344
1837.500000	-61.354737
1850.000000	-63.047825
1862.500000	-64.353326
1875.000000	-64.609994
1887.500000	-63.287480
1900.000000	-61.145634
1912.500000	-60.245724
1925.000000	-60.499811
1937.500000	-60.414963
1950.000000	-60.022111
1962.500000	-59.232868
1975.000000	-58.685814
1987.500000	-59.336709
2000.000000	-60.703071
2012.500000	-61.737397
2025.000000	-62.908630
2037.500000	-64.123962
2050.000000	-64.525155
2062.500000	-63.832410
2075.000000	-62.355148
2087.500000	-61.022846
2100.000000	-59.820489
2112.500000	-58.951118
2125.000000	-58.758704
2137.500000	-59.099574
2150.000000	-59.826293
2162.500000	-60.804029
2175.000000	-61.010757
2187.500000	-60.704460
2200.000000	-60.791489
2212.500000	-61.920916
2225.000000	-62.955164
2237.500000	-61.778678
2250.000000	-61.164706
2262.500000	-62.729081
2275.000000	-65.572572
2287.500000	-66.897224
2300.000000	-63.593476
2312.500000	-60.779057
2325.000000	-60.303702
2337.500000	-61.781356
2350.000000	-63.082669
2362.500000	-62.940672
2375.000000	-62.165973
2387.500000	-60.983430
2400.000000	-60.580729
2412.500000	-60.189882
2425.000000	-58.971771
2437.500000	-57.942787
2450.000000	-58.223707
2462.500000	-60.473575
2475.000000	-63.999235
2487.500000	-64.639052
2500.000000	-63.413354
2512.500000	-62.412250
2525.000000	-61.727325
2537.500000	-60.492385
2550.000000	-59.056320
2562.500000	-58.548527
2575.000000	-59.317185
2587.500000	-60.683808
2600.000000	-61.803157
2612.500000	-62.867614
2625.000000	-63.238859
2637.500000	-62.837687
2650.000000	-62.167381
2662.500000	-60.407121
2675.000000	-58.936475
2687.500000	-59.667314
2700.000000	-62.316752
2712.500000	-61.341102
2725.000000	-59.881614
2737.500000	-61.078047
2750.000000	-64.045919
2762.500000	-65.153577
2775.000000	-64.272886
2787.500000	-63.106161
2800.000000	-62.231462
2812.500000	-62.748011
2825.000000	-64.957703
2837.500000	-66.022337
2850.000000	-64.900064
2862.500000	-63.042467
2875.000000	-60.668003
2887.500000	-59.674816
2900.000000	-59.847130
2912.500000	-60.975267
2925.000000	-62.780925
2937.500000	-62.473826
2950.000000	-60.100208
2962.500000	-58.559881
